H 				, CU  		, abab , abbb
P 				, H 		, abaa , aaba
U 				, CU 		, aaaa , bbbb
Q 				, U 		, aaab , aabb
QandP 			, P 		, aabb , bbcc
UorH 			, CU 		, abbb , bbcc
UandP  			, UorH 		, aabb , bbcc
UandH 			, UorP 		, aabb , bcbc
UandP 			, QorP 		, aabb , bbcc
QandP 			, UandP 	, aaab , aabb
QorP 			, UorP 		, aabb , abbb
QorP 			, H 	 	, aabb , abab
QorP 			, U 		, aabb , abab
QorP 			, UorH 		, aabb , abab
QorP 			, UandH 	, aabb , abab
UandP 			, Q 		, abbb , babb
UandP 			, P 		, aabb , bbcc
UandP 			, UandH 	, aabb , abab
QandP 			, Q 		, aabb , abab
QandP 			, UandH 	, aabb , abab
U 				, QorP 		, aabb , bbcc
U 				, P 		, aabb , bbcc
U 				, H 		, aabb , bbcc
U 				, UorP 		, aabb , bbcc
U 				, UorH 		, aabb , bbcc
P 				, Q 		, aabb , abab
P 				, QorP 		, aabb , abab
Q 				, UandP 	, abbb , baaa
H 				, U 		, aabb , abbb
H 				, UorP 		, aabb , abbb
H 				, UorH 		, aabb , abbb
UorP 			, H 		, aabb , bcbc
UorP 			, UorH 		, aabb , bcbc
